iter	Passed	Remaining
0	22	22113
1	44	22008
2	67	22274
3	87	21861
4	106	21174
5	125	20771
6	145	20670
7	163	20322
8	183	20151
9	202	20038
10	219	19773
11	239	19706
12	254	19337
13	271	19136
14	290	19048
15	310	19074
16	330	19100
17	348	19015
18	364	18840
19	384	18818
20	402	18765
21	417	18542
22	434	18461
23	449	18260
24	462	18037
25	481	18052
26	499	17991
27	516	17946
28	533	17856
29	549	17763
30	566	17692
31	584	17676
32	601	17619
33	621	17650
34	636	17539
35	653	17507
36	672	17506
37	689	17445
38	707	17436
39	724	17399
40	739	17296
41	756	17259
42	773	17224
43	793	17247
44	809	17186
45	828	17178
46	845	17152
47	863	17125
48	879	17063
49	897	17054
50	911	16952
51	927	16902
52	941	16829
53	955	16730
54	970	16671
55	983	16581
56	995	16477
57	1011	16433
58	1028	16396
59	1042	16326
60	1059	16312
61	1076	16290
62	1096	16301
63	1114	16293
64	1128	16226
65	1145	16216
66	1159	16151
67	1177	16142
68	1191	16082
69	1208	16056
70	1227	16062
71	1243	16021
72	1260	16000
73	1278	16002
74	1297	16005
75	1315	15999
76	1335	16003
77	1353	16002
78	1370	15978
79	1389	15977
80	1408	15981
81	1428	15994
82	1450	16030
83	1470	16039
84	1486	16005
85	1503	15974
86	1515	15906
87	1533	15895
88	1552	15886
89	1573	15908
90	1587	15861
91	1602	15813
92	1619	15797
93	1633	15744
94	1650	15720
95	1663	15665
96	1683	15670
97	1697	15627
98	1713	15599
99	1729	15568
100	1744	15527
101	1763	15523
102	1782	15524
103	1797	15485
104	1814	15463
105	1829	15428
106	1846	15411
107	1862	15385
108	1882	15385
109	1900	15377
110	1917	15353
111	1931	15310
112	1949	15302
113	1964	15270
114	1982	15258
115	1998	15230
116	2017	15222
117	2031	15186
118	2050	15178
119	2067	15158
120	2084	15140
121	2102	15130
122	2117	15098
123	2133	15069
124	2149	15044
125	2165	15023
126	2181	14995
127	2195	14957
128	2214	14948
129	2233	14946
130	2251	14933
