Id,Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
5467,Rosanna,22 Douglas St,2,h,S,Miles,19/11/2016,11.4,3084,2,1,1,757,,,Banyule,-37.7428,145.07,Eastern Metropolitan,3540,1200000
4365,North Melbourne,103/25 Byron St,1,u,SP,Jellis,16/07/2016,2.3,3051,1,1,1,0,60,2012,Melbourne,-37.802,144.9516,Northern Metropolitan,6821,450000
9741,Surrey Hills,4/40 Durham Rd,3,u,SP,Noel,17/06/2017,10.2,3127,2,1,1,149,,,Boroondara,-37.82971,145.09007,Southern Metropolitan,5457,780000
11945,Cheltenham,3/33 Sunray Av,2,t,S,Buxton,29/07/2017,17.9,3192,2,1,1,171,,,Kingston,-37.96304,145.06421,Southern Metropolitan,9758,751000
4038,Mont Albert,7/27 High St,3,t,S,Fletchers,15/10/2016,11.8,3127,3,2,2,330,148,2001,Whitehorse,-37.8167,145.107,Eastern Metropolitan,2079,1310000
2626,Flemington,40 Coronet St,2,h,SP,Nelson,10/09/2016,4.4,3031,2,1,1,193,,,Moonee Valley,-37.7861,144.9238,Northern Metropolitan,3593,950000
10541,Thornbury,30 Martin St,3,h,SP,Jellis,27/05/2017,7,3071,3,1,0,275,90,1920,Darebin,-37.76126,145.00247,Northern Metropolitan,8870,1225000
6045,Sunshine North,49 Northumberland Rd,3,h,S,GL,22/08/2016,13.3,3020,3,1,1,610,,,Brimbank,-37.7719,144.8414,Western Metropolitan,4217,710000
1350,Brunswick,35 Percy St,2,h,S,Chambers,23/04/2016,5.2,3056,2,1,1,161,68,1910,Moreland,-37.7646,144.9586,Northern Metropolitan,11918,705000
11506,South Yarra,7/2 Cromwell Rd,2,u,S,Marshall,15/07/2017,2.7,3141,2,2,2,0,,,Stonnington,-37.84712,144.99967,Southern Metropolitan,14887,910000
