no,age,age_cut,capital-gain,capital-loss,education-num,hours-per-week,relationship_ Husband,relationship_ Not-in-family,relationship_ Other-relative,relationship_ Own-child,relationship_ Unmarried,relationship_ Wife,sex_ Female,sex_ Male
1,25,2,0,0,7,40,0,1,0,0,0,0,0,1
2,39,4,0,1721,10,55,0,1,0,0,0,0,1,0
3,35,3,0,0,13,50,0,1,0,0,0,0,1,0
4,64,7,0,0,11,40,0,1,0,0,0,0,1,0
5,24,2,0,0,10,70,1,0,0,0,0,0,0,1
6,66,7,0,0,5,25,1,0,0,0,0,0,0,1
7,56,6,0,1741,13,40,0,0,0,0,1,0,1,0
8,70,7,0,0,9,40,1,0,0,0,0,0,0,1
9,21,2,0,0,11,50,0,0,1,0,0,0,1,0
10,33,3,0,0,9,35,0,0,0,0,1,0,0,1
11,45,5,0,0,10,29,0,1,0,0,0,0,1,0
12,54,5,0,0,10,37,0,1,0,0,0,0,1,0
13,63,7,0,0,10,35,0,1,0,0,0,0,1,0
14,58,6,0,0,14,40,0,1,0,0,0,0,1,0
15,44,5,0,0,10,45,1,0,0,0,0,0,0,1
16,31,3,0,0,13,35,0,1,0,0,0,0,0,1
17,54,5,0,0,3,40,0,0,0,0,1,0,0,1
18,17,1,0,0,7,15,0,0,0,1,0,0,1,0
19,43,5,99999,0,15,40,0,1,0,0,0,0,0,1
20,18,1,0,0,10,16,0,0,0,1,0,0,0,1
21,23,2,0,0,10,30,0,0,0,1,0,0,1,0
22,50,5,0,0,10,35,1,0,0,0,0,0,0,1
23,54,5,0,0,13,40,1,0,0,0,0,0,0,1
24,19,1,0,0,5,40,0,0,0,1,0,0,0,1
25,19,1,0,0,10,20,0,0,0,1,0,0,1,0
26,45,5,0,0,8,35,1,0,0,0,0,0,0,1
27,38,4,1151,0,13,40,0,0,0,0,1,0,1,0
28,33,3,0,0,9,60,1,0,0,0,0,0,0,1
29,29,3,0,1590,13,50,0,1,0,0,0,0,0,1
30,18,1,2176,0,9,25,0,0,1,0,0,0,0,1
31,29,3,0,0,10,65,0,0,0,0,0,1,1,0
32,58,6,14084,0,13,40,0,1,0,0,0,0,1,0
33,66,7,0,0,9,10,1,0,0,0,0,0,0,1
34,30,3,0,0,9,45,1,0,0,0,0,0,0,1
35,47,5,0,0,13,50,0,1,0,0,0,0,1,0
36,28,3,0,0,14,80,0,1,0,0,0,0,1,0
37,28,3,0,0,9,60,0,0,0,1,0,0,1,0
38,24,2,0,0,10,15,0,0,0,1,0,0,1,0
39,22,2,0,0,9,24,0,1,0,0,0,0,1,0
40,50,5,0,0,9,40,0,1,0,0,0,0,1,0
41,39,4,0,0,9,40,0,1,0,0,0,0,0,1
42,59,6,0,0,6,36,0,0,0,0,0,1,1,0
43,34,3,0,1902,9,60,1,0,0,0,0,0,0,1
44,44,5,0,0,13,50,0,1,0,0,0,0,0,1
45,49,5,0,0,9,40,0,1,0,0,0,0,0,1
46,36,4,0,0,10,60,0,1,0,0,0,0,1,0
47,32,3,0,0,9,40,0,0,1,0,0,0,0,1
48,23,2,0,0,10,12,0,1,0,0,0,0,1,0
49,30,3,0,0,10,40,0,0,0,0,1,0,1,0
50,46,5,0,0,9,40,0,1,0,0,0,0,1,0
51,19,1,0,0,9,40,0,1,0,0,0,0,0,1
52,34,3,99999,0,13,50,0,1,0,0,0,0,0,1
53,46,5,0,0,9,40,0,0,1,0,0,0,1,0
54,66,7,0,0,9,40,1,0,0,0,0,0,0,1
55,34,3,0,0,10,66,0,1,0,0,0,0,0,1
56,54,5,0,0,9,15,0,1,0,0,0,0,1,0
57,42,5,0,0,10,50,0,1,0,0,0,0,0,1
58,61,7,0,0,7,36,1,0,0,0,0,0,0,1
59,23,2,0,0,10,6,0,0,0,1,0,0,1,0
60,46,5,0,0,11,60,1,0,0,0,0,0,0,1
61,38,4,0,0,9,40,0,0,0,1,0,0,0,1
62,40,4,0,0,14,50,0,1,0,0,0,0,0,1
63,23,2,0,0,10,25,0,0,0,0,1,0,1,0
64,30,3,0,0,6,40,1,0,0,0,0,0,0,1
65,29,3,0,0,11,42,1,0,0,0,0,0,0,1
66,61,7,0,0,13,50,1,0,0,0,0,0,0,1
67,54,5,0,0,9,56,1,0,0,0,0,0,0,1
68,36,4,0,0,10,50,1,0,0,0,0,0,0,1
69,56,6,0,0,13,40,1,0,0,0,0,0,0,1
70,22,2,0,0,10,35,0,0,0,1,0,0,1,0
71,50,5,0,0,9,40,1,0,0,0,0,0,0,1
72,31,3,0,0,13,60,0,0,0,0,1,0,0,1
73,25,2,0,0,13,44,0,1,0,0,0,0,1,0
74,26,3,0,0,9,40,0,0,0,1,0,0,0,1
75,36,4,0,0,13,45,1,0,0,0,0,0,0,1
76,28,3,0,0,9,48,0,0,0,1,0,0,0,1
77,57,6,0,0,9,40,1,0,0,0,0,0,0,1
78,43,5,0,0,14,35,0,0,0,0,0,1,1,0
79,27,3,0,0,13,40,0,1,0,0,0,0,1,0
80,36,4,0,0,12,40,1,0,0,0,0,0,0,1
81,45,5,0,0,11,40,1,0,0,0,0,0,0,1
82,33,3,0,0,10,40,0,0,0,1,0,0,0,1
83,23,2,0,0,13,32,0,1,0,0,0,0,0,1
84,34,3,0,0,13,60,0,1,0,0,0,0,0,1
85,29,3,0,1138,9,40,0,0,0,0,1,0,1,0
86,47,5,0,0,13,40,1,0,0,0,0,0,0,1
87,21,2,0,0,9,35,0,0,0,1,0,0,0,1
88,41,5,3325,0,9,50,0,1,0,0,0,0,0,1
89,39,4,0,0,10,40,1,0,0,0,0,0,0,1
90,31,3,0,0,9,40,0,1,0,0,0,0,0,1
91,37,4,0,0,9,40,0,0,0,0,1,0,1,0
92,30,3,0,0,9,37,0,0,0,0,1,0,1,0
93,35,3,0,0,11,36,1,0,0,0,0,0,0,1
94,27,3,0,0,14,25,0,1,0,0,0,0,1,0
95,61,7,0,0,10,40,0,1,0,0,0,0,0,1
96,58,6,0,0,10,45,1,0,0,0,0,0,0,1
97,36,4,0,0,9,45,1,0,0,0,0,0,0,1
98,39,4,0,0,8,40,0,1,0,0,0,0,1,0
99,29,3,0,0,13,40,1,0,0,0,0,0,0,1
100,26,3,0,0,7,40,0,1,0,0,0,0,0,1
101,32,3,0,0,9,99,0,0,0,0,1,0,0,1
102,39,4,0,0,6,40,1,0,0,0,0,0,0,1
103,39,4,0,625,13,40,0,0,0,0,1,0,1,0
104,60,6,0,0,13,25,1,0,0,0,0,0,0,1
105,37,4,0,0,10,20,0,0,0,1,0,0,0,1
106,18,1,0,0,9,15,0,0,0,1,0,0,1,0
107,27,3,0,0,10,40,1,0,0,0,0,0,0,1
108,36,4,0,0,13,40,1,0,0,0,0,0,0,1
109,58,6,0,0,9,45,1,0,0,0,0,0,0,1
110,25,2,0,0,13,50,1,0,0,0,0,0,0,1
111,25,2,0,0,11,36,0,0,0,1,0,0,1,0
112,33,3,0,0,9,35,0,1,0,0,0,0,1,0
113,38,4,0,0,13,42,0,1,0,0,0,0,1,0
114,27,3,0,0,9,40,0,0,0,0,1,0,1,0
115,34,3,0,2057,10,40,0,0,0,0,0,1,1,0
116,39,4,3103,0,10,50,1,0,0,0,0,0,0,1
117,43,5,0,0,14,50,1,0,0,0,0,0,0,1
118,28,3,0,0,9,45,1,0,0,0,0,0,0,1
119,48,5,0,0,7,40,0,0,0,0,0,1,1,0
120,19,1,0,0,9,52,0,0,0,1,0,0,0,1
121,40,4,0,0,9,40,0,1,0,0,0,0,1,0
122,46,5,0,0,13,55,1,0,0,0,0,0,0,1
123,21,2,2174,0,10,40,0,1,0,0,0,0,0,1
124,50,5,0,0,13,32,0,0,0,0,1,0,1,0
125,36,4,0,0,9,40,0,0,0,0,1,0,1,0
126,24,2,0,0,9,40,1,0,0,0,0,0,0,1
127,38,4,0,0,13,50,1,0,0,0,0,0,0,1
128,62,7,8614,0,10,39,0,1,0,0,0,0,1,0
129,33,3,0,0,9,40,0,0,0,0,1,0,1,0
130,53,5,0,1887,10,40,0,0,0,0,0,1,1,0
131,39,4,27828,0,13,55,0,1,0,0,0,0,0,1
132,33,3,0,0,10,30,0,1,0,0,0,0,1,0
133,18,1,0,0,7,8,0,0,0,1,0,0,1,0
134,19,1,0,0,10,45,0,0,0,1,0,0,1,0
135,37,4,0,0,11,48,0,0,0,0,0,1,1,0
136,64,7,0,0,14,2,1,0,0,0,0,0,0,1
137,39,4,14344,0,9,40,0,1,0,0,0,0,0,1
138,41,5,0,0,9,40,1,0,0,0,0,0,0,1
139,24,2,0,0,13,40,0,0,0,0,1,0,0,1
140,39,4,0,0,13,40,0,0,0,0,0,1,1,0
141,47,5,0,0,11,45,1,0,0,0,0,0,0,1
142,61,7,0,0,6,50,1,0,0,0,0,0,0,1
143,36,4,0,0,10,40,0,0,0,0,1,0,1,0
144,56,6,15024,0,14,48,1,0,0,0,0,0,0,1
145,34,3,0,0,13,40,1,0,0,0,0,0,0,1
146,43,5,0,0,13,40,1,0,0,0,0,0,0,1
147,27,3,0,0,9,15,0,0,0,1,0,0,1,0
148,64,7,0,0,9,30,0,1,0,0,0,0,1,0
149,58,6,0,0,13,47,1,0,0,0,0,0,0,1
150,21,2,0,0,9,20,0,0,0,1,0,0,1,0
