no,age,education-num,marital-status,occupation,capital-gain,capital-loss,hours-per-week,relationship_ Husband,relationship_ Not-in-family,relationship_ Other-relative,relationship_ Own-child,relationship_ Unmarried,relationship_ Wife,sex_ Female,sex_ Male,race_ Amer-Indian-Eskimo,race_ Asian-Pac-Islander,race_ Black,race_ Other,race_ White
1,25,7,4,1,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
2,39,10,4,0,0,1721,55,0,1,0,0,0,0,1,0,0,0,0,0,1
3,35,13,0,0,0,0,50,0,1,0,0,0,0,1,0,0,1,0,0,0
4,64,11,4,2,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
5,24,10,6,2,0,0,70,1,0,0,0,0,0,0,1,0,0,0,0,1
6,66,5,6,1,0,0,25,1,0,0,0,0,0,0,1,0,0,0,0,1
7,56,13,4,4,0,1741,40,0,0,0,0,1,0,1,0,0,0,1,0,0
8,70,9,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
9,21,11,6,0,0,0,50,0,0,1,0,0,0,1,0,0,0,0,0,1
10,33,9,1,0,0,0,35,0,0,0,0,1,0,0,1,0,0,0,0,1
11,45,10,4,0,0,0,29,0,1,0,0,0,0,1,0,0,0,0,0,1
12,54,10,4,1,0,0,37,0,1,0,0,0,0,1,0,0,0,0,0,1
13,63,10,4,3,0,0,35,0,1,0,0,0,0,1,0,0,0,0,0,1
14,58,14,0,4,0,0,40,0,1,0,0,0,0,1,0,1,0,0,0,0
15,44,10,6,1,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
16,31,13,0,4,0,0,35,0,1,0,0,0,0,0,1,0,1,0,0,0
17,54,3,3,1,0,0,40,0,0,0,0,1,0,0,1,0,0,0,0,1
18,17,7,0,0,0,0,15,0,0,0,1,0,0,1,0,0,0,0,0,1
19,43,15,3,4,99999,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
20,18,10,0,1,0,0,16,0,0,0,1,0,0,0,1,0,0,0,0,1
21,23,10,0,1,0,0,30,0,0,0,1,0,0,1,0,0,0,0,0,1
22,50,10,6,2,0,0,35,1,0,0,0,0,0,0,1,0,0,0,0,1
23,54,13,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
24,19,5,0,1,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,1
25,19,10,0,1,0,0,20,0,0,0,1,0,0,1,0,0,0,1,0,0
26,45,8,6,1,0,0,35,1,0,0,0,0,0,0,1,0,0,0,0,1
27,38,13,4,2,1151,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1
28,33,9,6,2,0,0,60,1,0,0,0,0,0,0,1,0,0,0,0,1
29,29,13,0,4,0,1590,50,0,1,0,0,0,0,0,1,0,0,0,0,1
30,18,9,0,1,2176,0,25,0,0,1,0,0,0,0,1,0,0,0,0,1
31,29,10,6,1,0,0,65,0,0,0,0,0,1,1,0,0,0,0,0,1
32,58,13,4,1,14084,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
33,66,9,6,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,1
34,30,9,6,2,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
35,47,13,4,2,0,0,50,0,1,0,0,0,0,1,0,0,0,0,0,1
36,28,14,3,2,0,0,80,0,1,0,0,0,0,1,0,0,0,0,0,1
37,28,9,0,2,0,0,60,0,0,0,1,0,0,1,0,0,0,0,0,1
38,24,10,0,1,0,0,15,0,0,0,1,0,0,1,0,0,0,1,0,0
39,22,9,0,0,0,0,24,0,1,0,0,0,0,1,0,0,0,0,0,1
40,50,9,4,1,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
41,39,9,1,3,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
