no,income
349,1
2158,0
17884,0
10086,1
24131,0
6286,0
11967,0
20087,0
399,0
10258,1
27874,0
3815,0
590,0
15772,0
23503,1
22704,1
8226,0
11108,0
17143,0
17274,0
27830,0
1750,0
10024,0
19651,0
20616,0
9120,0
9825,0
5356,1
17352,0
15497,0
26771,0
15277,0
6957,0
11145,1
11696,0
4049,1
16779,0
17728,0
21206,0
558,0
19054,0
18057,1
21384,1
22425,0
27324,0
13217,0
1848,0
15684,0
28721,0
4381,0
21345,0
23592,0
9527,0
18239,0
23522,0
382,0
8781,0
28166,0
19248,0
9917,0
20260,0
3519,0
8078,0
21132,0
11801,1
24692,1
6762,0
14571,0
19681,1
13985,0
388,0
28296,0
22989,0
11036,0
22708,0
22175,0
14935,0
17574,1
29164,0
16888,0
2615,0
6246,1
19439,0
28294,0
5944,1
801,1
21327,1
23062,0
9978,0
23544,0
6559,0
21637,0
1262,0
8457,1
19669,0
11212,0
16064,0
823,0
10251,0
2239,1
23607,0
1834,0
5174,1
7880,0
16131,0
15912,0
23580,0
22292,1
12274,1
26757,1
2963,0
14334,1
27462,1
10971,0
2181,0
14981,1
16927,1
25854,1
10458,0
640,0
27565,1
20383,0
6294,0
7536,0
28489,1
25424,1
9542,1
16444,0
13512,0
5953,0
17966,0
18749,0
8965,0
3769,1
26652,0
2129,0
25368,0
24022,0
19017,1
20459,0
5611,0
28523,0
9473,0
18839,0
15074,0
23432,0
26962,0
16267,1
21847,0
11104,0
9260,1
18758,0
432,0
19964,0
5040,0
23140,1
4503,0
12926,1
16213,1
12720,0
5320,0
15094,0
27846,1
5936,0
20924,0
18394,0
18415,1
9862,1
2803,1
18229,0
26411,0
6033,0
14647,0
22865,0
5692,0
7332,1
15867,0
28319,0
6561,0
8525,1
17359,0
16565,1
18212,0
2985,0
25856,0
21380,0
10456,0
21179,0
17743,1
10465,0
22392,0
12275,0
6529,0
6939,0
22548,0
13461,0
7289,0
22418,0
8489,0
4604,0
1695,0
8185,0
10564,0
6152,1
26503,0
15157,1
15370,0
18112,0
9183,0
16479,0
22721,0
4195,1
11886,0
15127,1
15223,0
20697,1
1608,0
17518,0
5657,0
8767,1
4793,0
6526,1
26396,0
9225,1
25032,0
15545,1
21965,1
27278,0
27203,0
4433,0
23189,1
2119,0
22426,0
27641,0
23594,0
18328,0
12242,0
13530,1
7852,0
18435,0
28243,0
11862,1
6233,0
7504,0
6645,0
15820,0
17691,0
1302,0
5434,0
10163,0
27704,0
27067,1
9707,1
22672,0
1374,0
5800,0
22367,0
23508,0
8057,0
18390,0
16601,0
3503,0
28925,0
9155,0
6081,0
2777,0
24087,0
27037,0
26520,1
3280,0
20622,0
21920,0
1987,1
28564,0
21016,0
17978,0
723,0
20819,0
28722,0
20188,0
13205,0
19948,0
18363,1
817,0
7275,0
15815,0
21570,0
22853,0
24817,0
5442,0
17315,0
22494,0
11270,0
13450,0
27027,0
12490,1
16287,0
20810,0
10325,1
18155,0
8967,1
23337,0
16223,1
17052,0
11580,0
24865,1
11733,1
6485,0
19640,0
4041,0
19226,1
8899,0
17944,0
22065,1
21545,1
19924,1
18600,0
1912,0
18233,0
726,0
28266,0
8173,1
28106,0
25570,0
23537,0
18992,0
28873,0
9079,0
6424,0
5779,0
7241,0
12836,0
1042,0
6156,0
15287,0
13315,1
403,0
9191,0
12675,0
13459,0
27185,0
18298,1
17788,0
26529,0
6966,0
4101,0
6726,0
21843,1
7172,1
6926,0
5294,0
14758,0
9713,0
11385,1
21466,1
4960,0
8698,0
3170,0
11558,0
10071,1
6915,1
25337,1
1725,0
184,0
28548,0
4708,1
21964,0
21807,0
22891,0
26760,0
13033,0
26907,0
25614,0
26978,0
9273,0
18094,0
14746,1
22057,0
1442,0
24033,0
12329,0
5366,0
28127,1
20364,0
6903,0
29128,0
20621,0
16575,0
415,0
24413,0
659,1
2624,0
3912,1
27345,1
17516,1
3663,0
24329,1
15946,1
13314,0
17975,0
26911,0
26077,0
1480,0
954,1
17070,1
599,0
23134,0
6279,1
15424,0
11753,0
20577,0
12478,1
18054,0
16124,0
5539,1
9690,0
2583,0
25016,0
5314,1
7061,0
10728,1
10062,1
20927,0
1341,0
16999,1
19857,0
24338,0
19194,0
25562,0
20183,0
7675,0
2819,0
20244,1
13599,0
18628,0
8961,0
6570,0
12034,0
26645,0
12346,1
23449,1
12196,0
7508,0
15718,1
13156,1
19652,0
28799,1
1718,0
23962,0
13436,0
8851,0
15548,0
20094,1
19006,1
18175,0
8401,0
27832,0
26311,0
15526,0
22676,0
11356,1
9214,0
28065,0
11202,1
6060,0
24148,1
22203,0
27892,0
27878,0
5950,0
661,0
3310,0
773,0
7876,0
20540,0
24036,0
24905,1
19917,0
25880,0
16712,0
6460,0
27682,0
14153,0
22566,0
799,0
17176,0
1296,0
14029,0
9404,1
2897,0
17783,1
22705,0
17246,0
16136,0
7347,1
11513,0
25601,1
9376,0
10436,0
13170,0
23320,1
18128,1
18715,0
10914,0
11956,0
698,0
13162,0
7126,0
28802,1
4788,0
243,1
45,0
298,0
23710,0
4203,1
12218,1
25679,0
28172,0
16324,0
1629,1
6552,1
26134,0
12278,0
13784,0
12420,0
29132,1
29199,0
11141,1
6320,0
18691,0
14404,0
12769,0
15987,0
28498,0
11632,1
22081,0
18586,0
13075,0
12475,0
22402,0
7701,1
3492,0
14564,0
22945,1
26477,1
25782,0
27554,0
8552,0
21036,0
17473,0
5329,0
16791,0
22992,0
3095,1
17509,0
14312,1
9491,0
24257,1
13096,0
685,0
1433,1
18476,1
25487,0
6891,1
27613,0
22223,0
2480,1
26695,0
25892,0
5381,1
20307,1
28387,0
22348,0
26331,0
26026,0
24027,0
22078,0
1753,0
23438,0
7922,0
10347,1
3926,0
19058,0
18000,1
3682,0
27087,1
5654,0
3909,1
28900,0
28081,1
15669,0
11218,0
9117,0
25694,0
13575,0
16681,0
23358,0
2083,0
13213,0
24602,0
3551,0
13387,0
26256,0
24294,0
7769,0
5683,0
12312,0
5135,1
28192,0
3355,0
14639,0
23949,0
1344,0
4436,0
18555,0
24929,0
19307,1
6913,0
3346,1
27290,0
18370,1
16660,0
3237,0
14585,0
22107,0
19070,0
841,1
14121,0
12847,0
29285,1
2618,1
3172,1
18813,0
13805,0
1503,0
3094,0
12131,0
17398,0
5882,0
10978,1
14486,0
25151,0
2579,1
20090,1
16216,0
27593,1
7674,1
23193,0
2052,1
20776,0
9384,1
22776,0
9623,1
7277,0
2018,0
16923,0
5778,0
18217,1
11432,0
9762,0
24103,0
4057,0
8258,0
17399,0
21212,0
18574,1
7920,0
10253,0
17392,0
20475,0
23666,0
27747,1
17689,1
2535,0
28530,1
4153,1
20625,1
27765,0
15311,1
15220,0
11749,1
12604,0
6612,0
15417,0
27686,1
12655,0
12255,0
3471,0
27071,0
14843,0
18719,0
19848,0
16161,1
13286,0
4559,0
28704,0
2686,0
26910,0
8072,0
23658,1
6786,0
4609,0
2227,0
18380,0
24247,0
7240,1
26112,0
786,0
12995,0
16201,1
2370,0
16148,0
8707,0
788,0
27699,0
18906,0
2152,0
17681,1
7449,0
7344,1
11321,0
3508,1
11406,1
21951,0
7571,0
4564,0
16766,0
21557,0
16887,1
1196,1
26773,1
12591,0
22200,0
15907,0
19920,0
21525,0
6009,0
26084,0
12066,0
16659,0
14772,0
18503,0
12248,0
24698,1
10391,0
9844,0
5190,1
8240,0
20365,1
4389,1
11300,0
24076,0
27525,0
20807,0
26742,0
20707,0
3625,0
21984,0
14491,0
8278,1
9328,0
21375,1
27964,1
1655,0
1965,0
28792,1
19088,0
10428,0
