PassengerId,Age,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_M,Cabin_T,Embarked_C,Embarked_Q,Embarked_S,Family,Family_cut_Alone,Family_cut_Large,Family_cut_Samll,Fare,Parch,Pclass,Sex_female,Sex_male,SibSp,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other
1,22.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,-0.3120106021758714,0,3,0,1,1,0,0,1,0,0
2,38.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2.4612422909015312,0,1,1,0,1,0,0,0,1,0
3,26.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2827766613540295,0,3,1,0,0,0,1,0,0,0
4,35.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.6737318966114614,0,1,1,0,1,0,0,0,1,0
5,35.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
6,25.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.25967968262767654,0,3,0,1,0,0,0,1,0,0
7,54.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.6201363384380845,0,1,0,1,0,0,0,1,0,0
8,2.0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0.2867438153974083,1,3,0,1,3,1,0,0,0,0
9,27.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,-0.14382665788926616,2,3,1,0,0,0,0,0,1,0
10,14.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.6763477929457417,0,2,1,0,1,0,0,0,1,0
11,4.0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0.09726456932991473,1,3,1,0,1,0,1,0,0,0
12,58.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5238635576190146,0,1,1,0,0,0,1,0,0,0
